report,Year,item,pct
2019,2015,Warrior,3.0
2019,2014,Cadenza,73.0
2019,2015,Cadenza,55.0
2019,2014,KWS Sterling,8.0
2019,2015,KWS Sterling,24.0
2019,2014,Kranich,4.0
2019,2015,Kranich,7.0
2019,2014,Apache,65.0
2019,2015,Apache,52.0
2019,2014,Crusoe,0.0
2019,2015,Crusoe,0.0
2019,2014,Evolution,
2019,2015,Evolution,
2019,2014,Total Number of Isolates,26.0
2019,2015,Total Number of Isolates,29.0
2021,2016,Yr1,100.0
2021,2017,Yr1,96.0
2021,2016,Yr2,100.0
2021,2017,Yr2,100.0
2021,2016,Yr3,100.0
2021,2017,Yr3,100.0
2021,2016,Yr4,100.0
2021,2017,Yr4,100.0
2021,2016,Yr5,0.0
2021,2017,Yr5,0.0
2021,2016,Yr6,100.0
2021,2017,Yr6,100.0
2021,2016,Yr7,89.0
2021,2017,Yr7,100.0
2021,2016,Yr8,3.0
2021,2017,Yr8,4.0
2021,2016,Yr9,100.0
2021,2017,Yr9,100.0
2021,2016,Yr10,0.0
2021,2017,Yr10,0.0
2021,2016,Yr15,0.0
2021,2017,Yr15,0.0
2021,2016,Yr17,100.0
2021,2017,Yr17,100.0
2021,2016,Yr24,0.0
2021,2017,Yr24,0.0
2021,2016,Yr25,97.0
2021,2017,Yr25,100.0
2021,2016,Yr32,100.0
2021,2017,Yr32,100.0
2021,2016,Rendezvous,87.0
2021,2017,Rendezvous,96.0
2021,2016,Spaldings Prolific,82.0
2021,2017,Spaldings Prolific,96.0
2021,2016,Robigus,100.0
2021,2017,Robigus,100.0
2021,2016,Solstice,100.0
2021,2017,Solstice,100.0
2021,2016,Warrior,37.0
2021,2017,Warrior,46.0
2021,2016,Cadenza,76.0
2021,2017,Cadenza,96.0
2021,2016,KWS Sterling,32.0
2021,2017,KWS Sterling,89.0
2021,2016,Kranich,8.0
2021,2017,Kranich,7.0
2021,2016,Apache,55.0
2021,2017,Apache,96.0
2021,2016,Crusoe,5.0
2021,2017,Crusoe,7.0
2021,2016,Evolution,16.0
2021,2017,Evolution,75.0
2021,2016,Total Number of Isolates,38.0
2021,2017,Total Number of Isolates,28.0
2023,2018,Yr1,97.0
2023,2019,Yr1,94.0
2023,2018,Yr2,100.0
2023,2019,Yr2,100.0
2023,2020,Yr2,100.0
2023,2021,Yr2,100.0
2023,2022,Yr2,100.0
2023,2018,Yr3,100.0
2023,2019,Yr3,94.0
2023,2018,Yr4,100.0
2023,2019,Yr4,97.0
2023,2018,Yr5,0.0
2023,2019,Yr5,0.0
2023,2018,Yr6,100.0
2023,2019,Yr6,100.0
2023,2020,Yr6,100.0
2023,2021,Yr6,100.0
2023,2022,Yr6,100.0
2023,2018,Yr7,100.0
2023,2019,Yr7,100.0
2023,2018,Yr8,0.0
2023,2019,Yr8,16.0
2023,2018,Yr9,100.0
2023,2019,Yr9,94.0
2023,2020,Yr9,100.0
2023,2021,Yr9,100.0
2023,2022,Yr9,100.0
2023,2018,Yr10,0.0
2023,2019,Yr10,0.0
2023,2018,Yr15,0.0
2023,2019,Yr15,0.0
2023,2018,Yr17,100.0
2023,2019,Yr17,100.0
2023,2018,Yr24,0.0
2023,2019,Yr24,0.0
2023,2020,Yr24,0.0
2023,2021,Yr24,0.0
2023,2022,Yr24,0.0
2023,2018,Yr25,100.0
2023,2019,Yr25,100.0
2023,2020,Yr25,100.0
2023,2021,Yr25,100.0
2023,2022,Yr25,100.0
2023,2018,Yr32,100.0
2023,2019,Yr32,100.0
2023,2018,Rendezvous,67.0
2023,2019,Rendezvous,48.0
2023,2018,Spaldings Prolific,100.0
2023,2019,Spaldings Prolific,81.0
2023,2020,Spaldings Prolific,100.0
2023,2021,Spaldings Prolific,100.0
2023,2022,Spaldings Prolific,100.0
2023,2018,Robigus,100.0
2023,2019,Robigus,100.0
2023,2020,Robigus,100.0
2023,2021,Robigus,100.0
2023,2022,Robigus,100.0
2023,2018,Solstice,100.0
2023,2019,Solstice,100.0
2023,2020,Solstice,100.0
2023,2021,Solstice,100.0
2023,2022,Solstice,100.0
2023,2018,Warrior,20.0
2023,2019,Warrior,61.0
2023,2018,Cadenza,93.0
2023,2019,Cadenza,77.0
2023,2018,KWS Sterling,17.0
2023,2019,KWS Sterling,55.0
2023,2018,Kranich,0.0
2023,2019,Kranich,29.0
2023,2018,Apache,83.0
2023,2019,Apache,68.0
2023,2018,Crusoe,0.0
2023,2019,Crusoe,10.0
2023,2020,Crusoe,7.0
2023,2021,Crusoe,3.0
2023,2022,Crusoe,8.0
2023,2018,Evolution,40.0
2023,2019,Evolution,19.0
2023,2018,Total Number of Isolates,30.0
2023,2019,Total Number of Isolates,31.0
2023,2020,Total Number of Isolates,30.0
2023,2021,Total Number of Isolates,40.0
2023,2022,Total Number of Isolates,25.0
2024,2020,Yr1,100.0
2024,2021,Yr1,100.0
2024,2022,Yr1,100.0
2024,2023,Yr1,100.0
2024,2024,Yr1,100.0
2024,2020,Yr3,100.0
2024,2021,Yr3,98.0
2024,2022,Yr3,100.0
2024,2023,Yr3,94.0
2024,2024,Yr3,76.0
2024,2020,Yr4,87.0
2024,2021,Yr4,68.0
2024,2022,Yr4,92.0
2024,2023,Yr4,80.0
2024,2024,Yr4,20.0
2024,2020,Yr5,0.0
2024,2021,Yr5,0.0
2024,2022,Yr5,0.0
2024,2023,Yr5,0.0
2024,2024,Yr5,0.0
2024,2020,Yr7,93.0
2024,2021,Yr7,100.0
2024,2022,Yr7,96.0
2024,2023,Yr7,54.0
2024,2024,Yr7,72.0
2024,2020,Yr8,3.33
2024,2021,Yr8,7.5
2024,2022,Yr8,0.0
2024,2023,Yr8,2.78
2024,2024,Yr8,0.0
2024,2020,Yr10,0.0
2024,2021,Yr10,0.0
2024,2022,Yr10,0.0
2024,2023,Yr10,0.0
2024,2024,Yr10,0.0
2024,2020,Yr15,0.0
2024,2021,Yr15,0.0
2024,2022,Yr15,0.0
2024,2023,Yr15,0.0
2024,2024,Yr15,0.0
2024,2020,Yr17,100.0
2024,2021,Yr17,100.0
2024,2022,Yr17,100.0
2024,2023,Yr17,100.0
2024,2024,Yr17,100.0
2024,2020,Yr32,100.0
2024,2021,Yr32,100.0
2024,2022,Yr32,100.0
2024,2023,Yr32,100.0
2024,2024,Yr32,100.0
2024,2020,Rendezvous,86.0
2024,2021,Rendezvous,72.0
2024,2022,Rendezvous,72.0
2024,2023,Rendezvous,53.0
2024,2024,Rendezvous,24.0
2024,2020,Warrior,47.0
2024,2021,Warrior,72.0
2024,2022,Warrior,92.0
2024,2023,Warrior,37.0
2024,2024,Warrior,36.0
2024,2020,KWS Sterling,70.0
2024,2021,KWS Sterling,80.0
2024,2022,KWS Sterling,80.0
2024,2023,KWS Sterling,61.0
2024,2024,KWS Sterling,56.0
2024,2020,Ambition,33.0
2024,2021,Ambition,25.0
2024,2022,Ambition,16.0
2024,2023,Ambition,30.0
2024,2024,Ambition,48.0
2024,2020,Kranich,33.0
2024,2021,Kranich,43.0
2024,2022,Kranich,24.0
2024,2023,Kranich,36.0
2024,2024,Kranich,36.0
2024,2020,Evolution,73.0
2024,2021,Evolution,38.0
2024,2022,Evolution,40.0
2024,2023,Evolution,22.0
2024,2024,Evolution,16.0
2024,2020,Cadenza,83.0
2024,2021,Cadenza,87.0
2024,2022,Cadenza,92.0
2024,2023,Cadenza,
2024,2024,Cadenza,84.0
2024,2020,Apache,93.0
2024,2021,Apache,100.0
2024,2022,Apache,96.0
2024,2023,Apache,53.0
2024,2024,Apache,72.0
2024,2020,Vilmorin,100.0
2024,2021,Vilmorin,97.0
2024,2022,Vilmorin,100.0
2024,2023,Vilmorin,95.0
2024,2024,Vilmorin,76.0
2024,2020,Hybrid 46,86.0
2024,2021,Hybrid 46,67.0
2024,2022,Hybrid 46,92.0
2024,2023,Hybrid 46,
2024,2024,Hybrid 46,20.0
